"id","conversation","qa_index","category","question","gold","our_answer","no_binding_answer","our_f1_pct","no_binding_f1_pct","delta_pp","our_read_tokens","no_binding_read_tokens","our_stored_tokens","no_binding_stored_tokens","no_binding_finish_reason"
"conv-26:144","conv-26","144","4","How did Melanie's son handle the accident?","He was scared but reassured by his family","He was scared but was reassured and explained his brother would be OK.","He was scared but was reassured.","60","71.42857142857143","11.428571428571432","1982","2045","47283","46030","stop"
"conv-26:145","conv-26","145","4","How did Melanie feel about her family after the accident?","They are important and mean the world to her","She felt they were super important, meant the world to her, and she was thankful to have them.","She felt they were super important, meant the world to her, and she was thankful to have them.","43.47826086956522","43.47826086956522","0","2014","2047","47283","46030","stop"
"conv-26:146","conv-26","146","4","How did Melanie's children handle the accident?","They were scared but resilient","They were scared but were reassured.","They were scared but were reassured.","72.72727272727273","72.72727272727273","0","1956","2048","47283","46030","stop"
"conv-26:147","conv-26","147","4","How did Melanie feel after the accident?","Grateful and thankful for her family","scared","scared","0","0","0","1962","2048","47283","46030","stop"
"conv-26:148","conv-26","148","4","What was Melanie's reaction to her children enjoying the Grand Canyon?","She was happy and thankful","Thankful","Thankful","40","40","0","2007","2035","47283","46030","stop"
"conv-26:149","conv-26","149","4","What do Melanie's family give her?","Strength and motivation","strength, motivation, support","motivation, support, love, strength","80","66.66666666666666","-13.333333333333341","2010","2048","47283","46030","stop"
"conv-26:150","conv-26","150","4","How did Melanie feel about her family supporting her?","She appreciated them a lot","She felt grateful, loved, supported, and that it helped her through tough times.","awesome, great","12.5","0","-12.5","1951","2036","47283","46030","stop"
"conv-26:151","conv-26","151","4","What did Melanie do after the road trip to relax?","Went on a nature walk or hike","went on a trail walk","camping","60","0","-60","1977","2043","47283","46030","stop"
"conv-30:0","conv-30","0","2","When Jon has lost his job as a banker?","19 January, 2023","20 January 2023","19 January 2023","66.66666666666666","100","33.333333333333336","1989","2048","39183","38034","stop"
"conv-30:1","conv-30","1","2","When Gina has lost her job at Door Dash?","January, 2023","20 January 2023","20 January 2023","80","80","0","2043","2030","39183","38034","stop"
"conv-30:2","conv-30","2","4","How do Jon and Gina both like to destress?","by dancing","dance","dance","66.66666666666666","66.66666666666666","0","2030","2033","39183","38034","stop"
"conv-30:3","conv-30","3","1","What do Jon and Gina both have in common?","They lost their jobs and decided to start their own businesses.","challenges","challenges that motivate them","0","0","0","2039","2043","39183","38034","stop"
"conv-30:4","conv-30","4","4","Why did Jon decide to start his dance studio?","He lost his job and decided to start his own business to share his passion.","Losing his job gave him the push to start his dance studio.","He lost his job, which gave him the push to start his own dance studio.","40","57.14285714285714","17.14285714285714","2046","2028","39183","38034","stop"
"conv-30:5","conv-30","5","1","What Jon thinks the ideal dance studio should look like?","By the water, with natural light and Marley flooring","A room with a view of the ocean and a few yoga mats","A view of the ocean and yoga mats inside.","7.6923076923076925","0","-7.6923076923076925","1947","2030","39183","38034","stop"
"conv-30:6","conv-30","6","2","When is Jon's group performing at a festival?","February, 2023","next month (from 20 January 2023)","unknown","25","0","-25","2048","2048","39183","38034","stop"
"conv-30:7","conv-30","7","2","When did Gina launch an ad campaign for her store?","29 January, 2023","29 January, 2023","29 January, 2023","100","100","0","2027","2036","39183","38034","stop"
"conv-30:8","conv-30","8","2","When was Jon in Paris?","28 January 2023","28 January 2023","28 January 2023","100","100","0","1981","2031","39183","38034","stop"
"conv-30:9","conv-30","9","1","Which city have both Jean and John visited?","Rome","unknown","unknown","0","0","0","2032","2047","39183","38034","stop"
"conv-30:10","conv-30","10","2","When did Gina team up with a local artist for some cool designs?","February, 2023","8 February 2023","8 February 2023","80","80","0","2022","2044","39183","38034","stop"
"conv-30:11","conv-30","11","2","When did Gina get her tattoo?","A few years ago","a few years ago","a few years ago","100","100","0","2019","2029","39183","38034","stop"
"conv-30:12","conv-30","12","2","When did Jon start to go to the gym?","March, 2023","unknown","March 2023 (the preceding week)","0","66.66666666666666","66.66666666666666","2044","2035","39183","38034","stop"
"conv-30:13","conv-30","13","2","When did Gina open her online clothing store?","16 March, 2023","16 March 2023","16 March 2023","100","100","0","2005","2035","39183","38034","stop"
"conv-30:14","conv-30","14","2","When did Jon start expanding his studio's social media presence?","April, 2023","16 June 2023","16 June 2023","40","40","0","2012","2048","39183","38034","stop"
"conv-30:15","conv-30","15","2","When did Jon host a dance competition?","May, 2023","unknown","unknown","0","0","0","1974","2028","39183","38034","stop"
"conv-30:16","conv-30","16","2","When did Jon go to a fair to get more exposure for his dance studio?","24 April, 2023","unknown","24 April 2023","0","100","100","2018","2026","39183","38034","stop"
"conv-30:17","conv-30","17","1","Why did Gina decide to start her own clothing store?","She always loved fashion trends and finding unique pieces and she lost her job so decided it was time to start her own business.","She lost her job.","to take control of her own destiny after losing her job","30.76923076923077","30.303030303030305","-0.46620046620046707","1963","2035","39183","38034","stop"
"conv-30:18","conv-30","18","1","Do Jon and Gina start businesses out of what they love?","Yes","Yes","Yes","100","100","0","1983","2045","39183","38034","stop"
"conv-30:19","conv-30","19","2","When did Gina interview for a design internship?","10 May, 2023","10 May 2023","10 May 2023","100","100","0","2043","2046","39183","38034","stop"
"conv-30:20","conv-30","20","2","When did Gina get accepted for the design internship?","27 May, 2023","unknown","unknown","0","0","0","2029","2047","39183","38034","stop"
"conv-30:21","conv-30","21","2","When did Jon start reading ""The Lean Startup""?","May, 2023","unknown","unknown","0","0","0","1990","2043","39183","38034","stop"
"conv-30:22","conv-30","22","2","When did Gina develop a video presentation to teach how to style her fashion pieces? ","June, 2023","13 June 2023","13 June 2023","80","80","0","2029","2044","39183","38034","stop"
"conv-30:23","conv-30","23","1","How did Gina promote her clothes store?","worked with an artist to make unique fashion pieces, made limited-edition sweatshirts, got some new offers and promotions for online store, developed a video presentation showing how to style her pieces","ad campaign","launched an ad campaign, collaborated with fashion bloggers and influencers","0","7.6923076923076925","7.6923076923076925","2040","2027","39183","38034","stop"
"conv-30:24","conv-30","24","1","Which events has Jon participated in to promote his business venture?","fair, networking events, dance competition","Attending networking events, attending a fair","networking events, dance competition, fair","48.88888888888889","100","51.11111111111111","2038","2045","39183","38034","stop"
"conv-30:25","conv-30","25","1","What does Jon's dance studio offer?","one-on-one metoring and training to dancers,  workshops and classes to local schools and centers","A place of support and encouragement for all dancers","support and encouragement for all dancers","8.333333333333332","10","1.6666666666666676","2019","2029","39183","38034","stop"
"conv-30:26","conv-30","26","2","When did Jon receive mentorship to promote his venture?","15 June, 2023","unknown","16 June 2023","0","66.66666666666666","66.66666666666666","2013","2045","39183","38034","stop"
"conv-30:27","conv-30","27","1","Did Jon and Gina both participate in dance competitions?","Yes","Yes","Yes","100","100","0","2040","2040","39183","38034","stop"
"conv-30:28","conv-30","28","2","When was Jon in Rome?","June 2023","June 2023 (the preceding week)","June 2023 (the preceding week)","66.66666666666666","66.66666666666666","0","1999","2035","39183","38034","stop"
"conv-30:29","conv-30","29","1","Which cities has Jon visited?","Paris, Rome","Paris","Paris, Rome","50","100","50","2044","2043","39183","38034","stop"
"conv-30:30","conv-30","30","2","When Jon is planning to open his dance studio?","20 June, 2023","20 June 2023","20 June 2023","100","100","0","2042","2031","39183","38034","stop"
"conv-30:31","conv-30","31","1","How long did it take for Jon to open his studio?","six months","unknown","unknown","0","0","0","1957","2028","39183","38034","stop"
"conv-30:32","conv-30","32","2","When did Gina design a limited collection of hoodies?","June 2023","June 2023 (the preceding week)","June 2023 (the preceding week)","66.66666666666666","66.66666666666666","0","2037","2031","39183","38034","stop"
"conv-30:33","conv-30","33","2","When did Jon visit networking events for his store?","20 June, 2023","20 June 2023","20 June 2023","100","100","0","2032","2039","39183","38034","stop"
